OBJECTID_1,OBJECTID,CD_USO_SOL,CD_UNIDADE,CD_REGIAO,CD_PROJETO,AREA_HA,CD_TALHAO,ID_REGIAO,ID_PROJETO,Shape_Leng,Shape_Area,CAMALHAO
29754,1098216,275953,1,11,6394,1.21000000000,006B,11,G891,0.00107797834,0.00000113243,Classe 2
29755,1098217,275955,1,11,6394,4.09000000000,008A,11,G891,0.01114170513,0.00000383362,Classe 1
29756,1020373,250496,1,11,1605,4.53000000000,047A,11,120,0.00101055091,0.00000425331,Classe 1
29757,1224310,313665,1,11,1999,2.24000000000,004B,11,617,0.00152909091,0.00000210324,Classe 1
29758,1224311,314193,1,11,4650,0.18000000000,006D,11,732,0.00152499091,0.00000016550,Classe 1
29759,1224464,315589,1,11,1115,29.28000000000,001A,11,567,0.03329686900,0.00002745431,Classe 1
29760,1065308,257051,1,11,1064,7.17000000000,045A,11,091,0.02756172265,0.00000672717,Classe 3
29761,1065309,257062,1,11,1064,1.55000000000,022B,11,091,0.02995625562,0.00000145129,Classe 1
29762,1065310,241850,1,11,1064,1.54000000000,022C,11,091,0.00155088313,0.00000144118,Classe 2
29763,1088340,265274,1,11,989,8.29000000000,002A,11,536,0.00277440742,0.00000777731,Classe 1
29764,1103518,287404,1,11,6326,0.99000000000,001C,11,G870,0.03129475113,0.00000092408,Classe 3
29765,1103519,287363,1,11,6386,0.30000000000,005B,11,G880,0.00146422507,0.00000027869,Classe 1
29766,1210610,300288,1,11,1661,0.99000000000,021I,11,150,0.08065012231,0.00000092603,Classe 1
29767,1210606,306062,1,11,1661,0.29000000000,004B,11,150,0.02766431372,0.00000027107,Classe 1
29768,1103541,287400,1,11,6326,1.81000000000,002C,11,G870,0.00161696751,0.00000169212,Classe 3
29769,1103542,287370,1,11,6386,0.58000000000,003B,11,G880,0.00107797834,0.00000054216,Classe 3
29770,1103543,287414,1,11,6332,0.30000000000,004D,11,G859,0.00107797834,0.00000027759,Classe 1
29771,1103546,287368,1,11,6386,0.17000000000,007M,11,G880,0.00189707175,0.00000015976,Classe 3
29772,1058591,260328,1,11,2435,2.64000000000,003A,11,662,0.00101623400,0.00000247723,Classe 1
29773,1058593,260331,1,11,2435,4.28000000000,007A,11,662,0.01733303925,0.00000401578,Classe 2
29774,1216047,311381,1,13,2823,6.09000000000,002A,12,R574,0.00101623400,0.00000582233,Classe 2
29775,1197115,307038,1,13,6408,15.70000000000,008I,12,R302,0.00107797834,0.00001497130,Classe 3
29776,1109334,288853,1,11,6383,0.15000000000,054D,11,G877,0.16532244202,0.00000014340,Classe 3
29777,1109336,288842,1,11,6383,0.37000000000,053C,11,G877,0.00796682348,0.00000034447,Classe 3
29778,1103568,274980,1,11,6332,34.48000000000,003A,11,G859,0.00107797834,0.00003225479,Classe 1
29779,1103570,275799,1,11,6386,29.91000000000,011A,11,G880,0.00107797834,0.00002797473,Classe 3
29780,1196524,312926,1,11,1838,0.21000000000,007B,11,195,0.00101079607,0.00000019929,Classe 1
29781,1208656,313935,1,11,7377,1.63000000000,002C,11,G996,0.00695967123,0.00000153240,Classe 1
29782,1103581,275795,1,11,6386,0.20000000000,007I,11,G880,0.02214910662,0.00000018974,Classe 1
29783,1103582,275624,1,11,6381,7.21000000000,005A,11,G875,0.01405355611,0.00000673969,Classe 3
29784,1199039,250070,1,13,5169,1.45000000000,008C,12,R603,0.02133399789,0.00000136828,Classe 1
29785,1106517,287860,1,13,6300,0.32000000000,042B,12,R309,0.00101079607,0.00000030382,Classe 1
29786,1106518,274299,1,13,6300,0.29000000000,021A,12,R309,0.00152499091,0.00000027362,Classe 1
29787,1106520,274315,1,13,6300,1.78000000000,031A,12,R309,0.00724185025,0.00000170359,Classe 1
29788,1106521,287851,1,13,6300,0.66000000000,043D,12,R309,0.00107797834,0.00000063027,Classe 3
29789,1106522,287810,1,13,6300,0.07000000000,004B,12,R309,0.00244010271,0.00000006956,Classe 3
29790,1106523,287842,1,13,6300,0.11000000000,051C,12,R309,0.00151019906,0.00000010083,Classe 1
29791,1106524,287823,1,13,6300,0.01000000000,052D,12,R309,0.00000000000,0.00000000910,Classe 2
29792,1106525,287881,1,13,6300,0.17000000000,001C,12,R309,0.00107797834,0.00000016103,Classe 1
29793,1106526,274341,1,13,6300,0.48000000000,003B,12,R309,0.00107797834,0.00000045495,Classe 3
29794,1098199,275960,1,11,6394,9.15000000000,009A,11,G891,0.02461269328,0.00000856828,Classe 1
29795,1106534,287849,1,13,6300,0.39000000000,023C,12,R309,0.00247652420,0.00000037259,Classe 1
29796,1106539,287805,1,13,6300,0.03000000000,022E,12,R309,0.01411338479,0.00000003064,Classe 1
29797,1106540,287816,1,13,6300,0.03000000000,044B,12,R309,0.00623302035,0.00000003313,Classe 1
29798,1106541,287811,1,13,6300,0.11000000000,028B,12,R309,0.00247190500,0.00000010339,Classe 1
29799,1106542,287875,1,13,6300,0.28000000000,031C,12,R309,0.00743639112,0.00000026420,Classe 1
29800,1106535,287821,1,13,6300,0.10000000000,040B,12,R309,0.00107797834,0.00000009594,Classe 3
29801,1106536,274334,1,13,6300,0.37000000000,054A,12,R309,0.00107797834,0.00000035378,Classe 1
29802,1106537,287847,1,13,6300,0.47000000000,047C,12,R309,0.00107797834,0.00000045218,Classe 2
29803,1106538,274313,1,13,6300,8.01000000000,030A,12,R309,0.00101623400,0.00000764726,Classe 1
29804,1202369,315347,1,11,1030,0.56000000000,060Q,11,048,0.00468603615,0.00000052249,Classe 1
29805,1202373,297201,1,11,1030,1.59000000000,047C,11,048,0.00351530326,0.00000148831,Classe 3
29806,1202374,292132,1,11,1030,0.35000000000,060O,11,048,0.01388250521,0.00000032500,Classe 1
29807,1165789,250368,1,11,5146,6.16000000000,022A,11,G975,0.00224167754,0.00000576866,Classe 2
29808,1032549,101589,1,13,2896,2.14000000000,029C,12,R446,0.03467394558,0.00000202279,Classe 1
29809,1165786,250363,1,11,5146,3.98000000000,024A,11,G975,0.02414064194,0.00000372767,Classe 1
